iter	Passed	Remaining
0	0	956
1	1	724
2	1	655
3	2	637
4	3	617
5	3	612
6	4	610
7	5	624
8	5	621
9	6	613
10	6	612
11	7	614
12	8	609
13	8	606
14	9	605
15	9	599
16	10	596
17	10	594
18	11	608
19	12	605
20	13	606
21	13	602
22	14	600
23	14	594
24	15	591
25	15	590
26	16	587
27	16	585
28	17	582
29	17	578
30	18	581
31	19	581
32	20	589
33	21	600
34	22	617
35	23	620
36	23	616
37	24	612
38	24	606
39	25	612
40	26	610
41	26	606
42	27	605
43	27	605
44	28	603
45	28	600
46	29	600
47	30	598
48	30	596
49	31	593
50	31	592
51	32	590
52	33	590
53	33	590
54	34	587
55	34	586
56	35	586
57	36	585
58	36	586
59	37	584
60	37	583
61	38	581
62	39	581
63	39	579
64	40	578
65	40	577
66	41	577
67	41	575
68	42	572
69	43	571
70	43	569
71	44	568
72	45	572
73	45	571
74	45	566
75	46	564
76	47	563
77	47	562
78	48	561
79	48	559
80	49	558
81	49	559
82	50	558
83	51	558
84	51	557
85	52	557
86	53	556
87	53	554
88	54	553
89	54	552
90	55	551
91	55	549
92	56	549
93	56	548
94	57	547
95	58	546
96	58	545
97	59	544
98	59	542
99	60	542
100	60	541
101	61	541
102	61	539
103	62	537
104	62	536
105	63	533
106	63	533
107	64	533
108	65	533
109	65	531
110	66	531
111	66	530
112	67	530
113	68	529
114	68	528
115	69	528
116	70	528
117	70	527
118	71	526
119	71	525
120	72	523
121	72	522
122	73	521
123	73	520
124	74	519
125	74	518
126	75	517
127	75	515
128	76	514
129	76	513
130	77	512
131	77	510
132	78	509
133	78	508
134	79	507
135	79	506
136	80	506
137	81	506
138	81	505
139	82	504
140	82	503
141	83	502
142	83	501
143	84	501
144	84	500
145	85	498
146	85	498
147	86	496
148	86	496
149	87	495
150	87	494
151	88	493
152	88	492
153	89	491
154	89	489
155	90	487
156	90	486
157	91	485
158	91	485
159	92	484
160	92	483
161	93	482
162	93	481
163	94	479
164	94	479
165	95	479
166	96	479
167	96	478
168	97	478
169	97	477
170	98	476
171	98	475
172	99	474
173	99	473
174	100	472
175	100	471
176	101	471
177	101	470
178	102	469
179	102	468
180	103	467
181	103	466
182	104	465
183	104	464
184	105	463
185	105	462
186	106	461
187	106	460
188	107	459
189	107	458
190	108	458
191	108	457
192	109	456
193	109	455
194	110	455
195	110	455
196	111	455
197	112	454
198	112	453
199	113	453
200	113	452
201	114	451
202	114	451
203	115	450
204	115	449
205	116	448
206	116	447
207	117	447
208	117	446
209	118	445
210	118	444
211	119	443
212	119	443
213	120	442
214	120	441
215	121	440
216	121	440
217	122	439
218	122	438
219	123	437
220	123	436
221	124	436
222	124	435
223	126	436
224	126	436
225	127	436
226	127	435
227	128	434
228	128	433
229	129	433
230	129	432
231	130	431
232	130	431
233	131	430
234	132	429
235	132	428
236	132	428
237	133	427
238	133	426
239	134	425
240	134	424
241	135	424
242	135	423
243	136	422
244	136	421
245	137	420
246	137	420
247	138	419
248	138	418
249	139	417
250	139	417
251	140	416
252	140	415
253	141	415
254	142	415
255	142	414
256	143	414
257	143	413
258	144	412
259	144	412
260	145	412
261	146	411
262	146	411
263	147	410
264	147	409
265	148	409
266	148	408
267	149	408
268	149	407
269	150	406
270	150	405
271	151	404
272	151	404
273	152	403
274	152	402
275	153	401
276	153	401
277	154	400
278	154	399
279	155	399
280	155	398
281	156	397
282	156	397
283	157	397
284	158	396
285	158	396
286	159	395
287	159	394
288	160	393
289	160	393
290	161	392
291	161	391
292	162	391
293	162	390
294	163	389
295	163	389
296	164	388
297	164	387
298	165	387
299	165	386
300	166	385
301	166	385
302	167	384
303	167	383
304	168	383
305	168	382
306	169	381
307	169	381
308	170	380
309	170	379
310	171	378
311	171	378
312	172	377
313	172	377
314	173	377
315	174	376
316	174	376
317	175	375
318	175	375
319	176	375
320	177	374
321	177	373
322	178	373
323	178	372
324	179	371
325	179	371
326	179	370
327	180	369
328	180	369
329	181	368
330	181	367
331	182	367
332	182	366
333	183	365
334	183	365
335	184	364
336	184	363
337	185	363
338	186	363
339	186	362
340	187	362
341	188	361
342	188	361
343	189	360
344	189	359
345	190	359
346	190	358
347	191	357
348	191	357
349	192	356
350	192	356
351	193	355
352	193	354
353	194	354
354	194	353
355	195	353
356	195	352
357	196	351
358	196	351
359	197	350
360	197	349
361	198	349
